dataset,n,R,metodo,tiempo
mejor-caso-BT,573,1000,BT,0.114318
mejor-caso-BT,574,1000,BT,0.125539
mejor-caso-BT,575,1000,BT,0.129268
mejor-caso-BT,576,1000,BT,0.126625
mejor-caso-BT,577,1000,BT,0.127002
mejor-caso-BT,578,1000,BT,0.127072
mejor-caso-BT,579,1000,BT,0.120796
mejor-caso-BT,580,1000,BT,0.122236
mejor-caso-BT,581,1000,BT,0.121095
mejor-caso-BT,582,1000,BT,0.121292
mejor-caso-BT,583,1000,BT,0.136486
mejor-caso-BT,584,1000,BT,0.125975
mejor-caso-BT,585,1000,BT,0.122619
mejor-caso-BT,586,1000,BT,0.121142
mejor-caso-BT,587,1000,BT,0.123354
mejor-caso-BT,588,1000,BT,0.122429
mejor-caso-BT,589,1000,BT,0.116836
mejor-caso-BT,590,1000,BT,0.129154
mejor-caso-BT,591,1000,BT,0.119127
mejor-caso-BT,592,1000,BT,0.120996
mejor-caso-BT,593,1000,BT,0.116878
mejor-caso-BT,594,1000,BT,0.120517
mejor-caso-BT,595,1000,BT,0.123569
mejor-caso-BT,596,1000,BT,0.13974
mejor-caso-BT,597,1000,BT,0.125435
mejor-caso-BT,598,1000,BT,0.133892
mejor-caso-BT,599,1000,BT,0.118442
mejor-caso-BT,600,1000,BT,0.125525
mejor-caso-BT,601,1000,BT,0.132291
mejor-caso-BT,602,1000,BT,0.168057
mejor-caso-BT,603,1000,BT,0.134529
